topology,activation,baseline,objective,n_pairs,cliffs_delta_gp_favorable,median_paired_diff_gp_minus_base,ci95_lo,ci95_hi,wilcoxon_two_sided_p
funnel,linear,Laor,loss,125,-0.988736,240.49510914087296,202.01730871200562,355.58818876743317,2.9643799464905646e-22
funnel,rectification,Xavier_Glorot,acc,125,-0.017536,0.0,-0.0042372941970825195,0.0021052956581115723,0.43702497965853393
funnel,rectification,Xavier_Glorot,loss,125,-0.015552,-0.0006424039602279663,-0.007053866982460022,0.008708745241165161,0.38645088426198193
funnel,rectification,He_Kaiming,acc,125,-0.024512,-0.002655029296875,-0.00736844539642334,0.0006544589996337891,0.060776669805753414
funnel,rectification,He_Kaiming,loss,125,0.044992,-0.004350841045379639,-0.010652542114257812,0.008353203535079956,0.6440906444440895
funnel,rectification,LeCun,acc,125,-0.01824,-0.001400589942932129,-0.004903912544250488,0.0,0.3466755018720292
funnel,rectification,LeCun,loss,125,0.004288,-0.0031434297561645508,-0.011265367269515991,0.00472453236579895,0.9283400845312222
funnel,rectification,Orthogonal,acc,125,0.001088,0.0,-0.0014595985412597656,0.0024999380111694336,0.9441266581691387
funnel,rectification,Orthogonal,loss,125,-0.016448,0.005780935287475586,-0.0017890632152557373,0.01573324203491211,0.03678148971373494
funnel,rectification,FAVI,acc,125,0.01472,0.0,0.0,0.00439375638961792,0.257393737370764
funnel,rectification,FAVI,loss,125,-0.019008,-0.0004630088806152344,-0.007193028926849365,0.005760513246059418,0.6074410947757176
funnel,rectification,Laor,acc,125,0.092352,0.017170250415802002,0.00814354419708252,0.02499997615814209,7.680257488004853e-07
funnel,rectification,Laor,loss,125,0.145472,-0.02822268009185791,-0.04503518342971802,-0.006731688976287842,0.06769908054515178
funnel,smooth,Xavier_Glorot,acc,125,-0.020736,0.0,-0.0024999380111694336,0.000698387622833252,0.5353758474745864
funnel,smooth,Xavier_Glorot,loss,125,-0.069184,0.012423962354660034,-0.0018967688083648682,0.030854344367980957,0.01591076138640138
funnel,smooth,He_Kaiming,acc,125,-0.032064,-0.0025411248207092285,-0.007272839546203613,0.0,0.0650382859666459
funnel,smooth,He_Kaiming,loss,125,-0.013632,0.005492568016052246,-0.00800032913684845,0.025242619216442108,0.6762130915782769
funnel,smooth,LeCun,acc,125,-0.034752,-0.0006223320960998535,-0.007243454456329346,0.0010822415351867676,0.07467968504239576
funnel,smooth,LeCun,loss,125,-0.031168,-0.0015529245138168335,-0.01367756724357605,0.015746980905532837,0.8158845272495832
funnel,smooth,Orthogonal,acc,125,-0.001024,0.0,-0.0032696127891540527,0.0025000572204589844,0.8309610939054335
funnel,smooth,Orthogonal,loss,125,-0.062912,0.009109295904636383,0.0007089078426361084,0.02300642803311348,0.07791020754418217
funnel,smooth,FAVI,acc,125,0.009728,0.0003018379211425781,-0.0002976059913635254,0.007142841815948486,0.2197052295053895
funnel,smooth,FAVI,loss,125,-0.049344,0.010106384754180908,-0.00483037531375885,0.019513964653015137,0.0754488724978474
funnel,smooth,Laor,acc,125,0.09984,0.01743108034133911,0.010025203227996826,0.02500009536743164,1.7420192468519995e-07
funnel,smooth,Laor,loss,125,0.102208,-0.014449000358581543,-0.040824174880981445,0.0006928741931915283,0.40425814679107763
funnel,squashing,Xavier_Glorot,acc,125,-0.005376,-0.0027272701263427734,-0.008474588394165039,0.0024999380111694336,0.31650065239602376
