topology,activation,rule,baseline,cluster,n_trials,gp_acc_mean,baseline_acc_mean,gp_loss_mean,baseline_loss_mean,wilcoxon_acc_stat,wilcoxon_acc_pval_raw,wilcoxon_loss_stat,wilcoxon_loss_pval_raw,binomial_wins,binomial_win_rate,wilcoxon_acc_pval_holm,wilcoxon_loss_pval_holm,acc_significant,loss_significant
shallow,smooth,GP_Rule_3,LeCun,0,15,0.8796885848045349,0.9163694341977437,0.2478623569011688,0.18428776015837986,3.0,0.999908447265625,109.0,0.998687744140625,2,0.13333333333333333,1.0,1.0,False,False
shallow,smooth,GP_Rule_3,Orthogonal,0,15,0.8796885848045349,0.8977755506833395,0.2478623569011688,0.20968683411677677,15.0,0.99664306640625,113.0,0.99957275390625,1,0.06666666666666667,1.0,1.0,False,False
shallow,smooth,GP_Rule_3,FAVI,0,15,0.8796885848045349,0.8976188421249389,0.2478623569011688,0.20771083037058513,10.0,0.998992919921875,117.0,0.999908447265625,2,0.13333333333333333,1.0,1.0,False,False
shallow,smooth,GP_Rule_3,Laor,0,15,0.8796885848045349,0.8959237694740295,0.2478623569011688,0.25015082557996116,37.0,0.90618896484375,68.0,0.6806640625,7,0.4666666666666667,1.0,1.0,False,False
shallow,smooth,GP_Rule_4,Xavier_Glorot,0,15,0.8880187034606933,0.9075247287750244,0.22771261632442474,0.1984302615125974,1.0,0.999969482421875,103.0,0.994873046875,3,0.2,1.0,1.0,False,False
shallow,smooth,GP_Rule_4,He_Kaiming,0,15,0.8880187034606933,0.9172191421190897,0.22771261632442474,0.1767571523785591,4.0,0.999847412109375,109.0,0.998687744140625,4,0.26666666666666666,1.0,1.0,False,False
shallow,smooth,GP_Rule_4,LeCun,0,15,0.8880187034606933,0.9163694341977437,0.22771261632442474,0.18428776015837986,4.0,0.999847412109375,95.0,0.9793701171875,4,0.26666666666666666,1.0,1.0,False,False
shallow,smooth,GP_Rule_4,Orthogonal,0,15,0.8880187034606933,0.8977755506833395,0.22771261632442474,0.20968683411677677,21.0,0.989227294921875,98.0,0.987213134765625,3,0.2,1.0,1.0,False,False
shallow,smooth,GP_Rule_4,FAVI,0,15,0.8880187034606933,0.8976188421249389,0.22771261632442474,0.20771083037058513,15.0,0.99664306640625,117.0,0.999908447265625,1,0.06666666666666667,1.0,1.0,False,False
shallow,smooth,GP_Rule_4,Laor,0,15,0.8880187034606933,0.8959237694740295,0.22771261632442474,0.25015082557996116,48.0,0.755645751953125,56.0,0.4234619140625,8,0.5333333333333333,1.0,1.0,False,False
shallow,smooth,GP_Rule_5,Xavier_Glorot,0,15,0.9009941299756368,0.9075247287750244,0.2075655793150266,0.1984302615125974,15.0,0.9907311207097264,104.0,0.995819091796875,2,0.13333333333333333,1.0,1.0,False,False
